Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
03/23/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Improper contact or sharing of info,Contacted me after I asked not to,"I do n't know how they got my cell number. I told them would deal onlybwith the original company and to stop harassing me. They called again after sending the do not contact messsage and told them I would report them. They have contacted people whose is of no concern my business. 
",,"CCS Financial Services, Inc.",AR,727XX,,Consent provided,Web,03/23/2015,Closed with explanation,Yes,No,1296593
03/23/2015,Credit card,,Rewards,,"I 'm a longtime member of Charter One Bank/RBS Citizens Bank. When my mother ; XXXX XXXX became elderly, I assisted her in opening an account with Charter One at their branch office located on XXXX XXXX XXXX of XXXX in XXXX, Michigan and I was placed on her account as co-account owner. As my mother 's XXXX, it became necessary for me to obtain a "" Durable Power of Attorney '' to handle both her Financial and Medical needs. Some years ago, with my mother present, I presented the original ( stamped with seal ) "" Durable Power of Attorney '' at the Charter One branch office located on XXXX in XXXX, Michigan for their record file. When presented, it was my understanding I would be placed on all of my mother 's account. Furthermore, when I needed to transact her business I would be welcomed as though "" I '' were "" She. '' On XXXX XXXX, 2015, I was contacted by Charter One Master Card someone had made fraudulent charges on my mother 's credit card account. The caller stated she would immediately close my mother 's Master Credit Card account and open a new account and send another Master Card the next day. Upon receiving my mother 's new credit card I realized she was entitled to "" XXXX '' bonus points. I telephoned the bank to redeem her "" XXXX XXXX '' bonus points and I was informed my name was not on my mother 's credit card account. I informed them, I had taken the original "" Durable Power of Attorney '' into the branch office and it should be on file. The representative indicated there was a "" Durable Power of Attorney '' on file with Charter One Bank but Master Card is a separate entity from the bank and would require another "" Durable Power of Attorney. '' I replied why ca n't Charter One forward a copy of the "" Durable Power of Attorney '' to Master Card. I was told to go into a local branch and they could resolve the issue. On XXXX XXXX, 2015, I went into the Charter One Bank located ; XXXX XXXX XXXX XXXX XXXX, in XXXX, Michigan, XXXX. I was told no branch manager was available - the bank teller made copies of "" Durable Power of Attorney '' and stated she would forward the document to the branch manager the following day to resolve the issue. On XXXX XXXX, 2015, I telephoned the XXXX branch for the results of their investigation and was told by an individual who identified himself as : XXXX, there were no branch managers available, but he had talked to representatives at banking headquarters and I would have to telephone "" customer service '' along with my mother on the telephone to resolve the issue. I informed him my mother is XXXX ( XXXX ) years old and suffers from "" XXXX XXXX XXXX '' and is XXXX of the issues involved. He offered a XXXX suggestion was to take the original "" Durable Power of Attorney '' into a local branch office for recording and to be placed on file. I indicated to him I had already done that years ago at the XXXX branch. XXXX indicated he was unable to resolve the matter at his level. In an effort to resolve the issue without further problems, on XXXX XXXX, 2015, I went to the branch office ; XXXX XXXX XXXX, XXXX, Michigan, XXXX and talked to XXXX XXXX. She indicated there was "" no '' branch manager available but she would assist me. She telephoned bank headquarters who told her there was "" no '' "" Durable Power of Attorney '' on file on my mother 's account. There are inconsistencies in the responses I received while trying to resolve this issue with Charter One Bank. I know I took the original "" Durable Power of Attorney '' to the Charter One Bank in XXXX, Michigan XXXX years ago to be placed on file for my mother 's banking accounts. This level of "" customer service '' is abysmal. 
",,"Citizens Financial Group, Inc.",MI,482XX,,Consent provided,Web,03/23/2015,Closed with explanation,Yes,Yes,1296693
03/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,"After looking at my credit report, I saw a collection account that does not belong to me. I am not allowed to dispute this information online on Experian or over the phone making it impossible for me. This false information is ruining my credit and knowing full well this people did not do their job and allow people to just post false accounts on my report. They need to delete this information immediately and do a proper investigation as this information is not mine. 
",Company chooses not to provide a public response,Experian,FL,331XX,,Consent provided,Web,03/27/2015,Closed with non-monetary relief,Yes,No,1296955
03/23/2015,Debt collection,Payday loan,Improper contact or sharing of info,Talked to a third party about my debt,"I received a call from a XXXX XXXX from XXXX @ XXXX Ext XXXX stating that I owed {$400.00} to XXXX, but they wanted XXXX however they would take less. I asked for a validation of debt he transferred me to someone else who got made because he wanted me to go online & I was at work & told him now was not good to give me a number & I would call at a better time. He got mad & said he was going to tell the debtor I did n't want to pay. Now today XXXX XXXX, 2015 XXXX XXXX had come called people from my XXXX page saying I had used them as a reference. They will now not return my calls as I stated they I was going to make a complaint about their tactics. 
",,"Big Picture Loans, LLC",SC,291XX,,Consent provided,Web,03/23/2015,Closed with explanation,Yes,No,1296727
03/23/2015,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,"Was not contacted 4 years later about some private loan I supposedly took out and they are trying to collect it. I keep trying to call XXXX college but they keep giving me bogus numbers where nobody answers. I called the collection agency to get some information and they will not give me any info at all. They said call XXXX college but again this gets me nowhere with bogus numbers where noone answers or hangs up on me. 
",,Oliphant Financial Corporation,IL,605XX,,Consent provided,Web,03/25/2015,Closed with explanation,Yes,No,1296773
03/23/2015,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,"Collection Consultants is reporting a collection account on all XXXX credit bureaus illegally. I had a medical bill with a hospital. I had a payment plan with the hospital while I was investigating the charges. I had NEVER gotten a bill that I demanded. I do not believe I owe this. I disagree that I received some services or goods at the hospital. Neither did my insurance company. Nobody ( not the hospital or Collection Consultants ) has been able to provide to me an itemization of the total bill. When I questioned this the hospital sent the bill to Collection Consultants even though I was paying them. They just stopped sending bills then Collection Consultants sent me a letter demanding the payment in full. I called. I told them I was investigating the charges and that I needed them to send me a copy of their HIPPA compliant agreement with the hospital, a copy of their assignment, and an itemization of the bill including anything that I authorized. They never provided this information. They never validated the debt in accordance with the Fair Debt Collection Practices Act. I did pay them only because I did NOT want it to go on my credit and I was assured it would be removed. The representative said at the end of my XXXX payment plan it would be removed from my credit. This did not happen. They deceived me and did not validate it. They have XXXX things I have issue with. 1- I do not believe they followed HIPPA laws. 2- They have reported this to the bureaus when they did not have a legal right do so because they did not validate their legal right to when requested, 3- they used deceptive practices to collect the debt. They promised me it would be removed. 
",,Collection Consultants of California,CA,923XX,,Consent provided,Web,04/30/2015,Closed with explanation,Yes,No,1296774
03/23/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,"I had my purse stolen in 2007. They never found the person responsible. I cancelled everything, credit cards, debit cards etc. My social security card was in this purse as well as my license. Several years later I was contacted by certified mail and told I needed to appear in court in XXXX maine. It stated I had a very large medical bill I had not paid. I called the lawyer representing the medical facility and explained it was not my bill. He took some information then and asked me if my identity had been stolen. I did n't think so, because there were no other things showing up. Since then there is a different name aka on my credit report and many, many accounts that are not mine. They are actually fairly good credit. My debt to income ration according to this report is extremely high. In actuality my debt to income is extremely low. I have tried to dispute this with XXXX. I even tried to go through XXXX XXXX. At this point the horse is out of the barn, so to speak, so XXXX XXXX does n't do me any good. I have read up on this and found that I have a crossed credit or something. They say it is the most difficult to fix. Any help you could give me would be wonderful. Thank you 
",Company chooses not to provide a public response,Experian,ME,044XX,,Consent provided,Web,03/23/2015,Closed with explanation,Yes,No,1296785
03/23/2015,Credit card,,Other,,"I attempted to apply for a Discover Card Online. The system did a hard credit pull and then disconnected me from the application process. I called in and was told that another hard pull would need to be done to complete the application. I never agreed to any hard credit pulls in the process and called and advised them of that. 
",,Discover,MD,217XX,,Consent provided,Web,03/23/2015,Closed with non-monetary relief,Yes,No,1295056
03/23/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,"Continued attempts by XXXX XXXX XXXX to collect on debt under my name. The debt was clearly shown under another name and address in a state I have never lived. I also was currently living in the northeast while the debt is in California. 
I have disputed several times but the debt keeps showing up in my credit reports. 
",,Stellar Recovery Inc.,CT,060XX,,Consent provided,Web,03/25/2015,Closed with explanation,Yes,No,1296777
03/23/2015,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,"This is a continuation of a previous issue with Citibank that has reached another XXXX. Citibank increased my monthly payments XXXX and I have been unable to reach an agreement with them about my monthly payment. I am requesting that Citibank reconsider my request for graduated repayment, so that I am not forced into Collections. I would like to pursue a payment plan that works with my current financial situation and allows me be responsible for my debt. 
",Company chooses not to provide a public response,Citibank,SC,296XX,,Consent provided,Web,03/25/2015,Closed with explanation,Yes,No,1295228
03/23/2015,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,"Going through a divorce, my ex and I were unable to pay the mortgage for a few months. The house was sold in XXXX 2010 ( NOT A SHORT SALE ) and the mortgage was paid to Citimortgage PAID IN FULL. After the sale of the house, the law firm handling this case reported the pre-forclosure to the credit bureaus and do n't understand how a mortgage that was paid in full can go to foreclosure. I did not own this house at the time of the filing. CitiMortgage had an moral obligation to discuss the lawyer which they did not. In addition, Citi was part of a class action suit at this time regarding DEFICIENT MORTGAGE SERVICING. 
",,Citibank,FL,330XX,,Consent provided,Web,03/23/2015,Closed with explanation,Yes,No,1295146
03/23/2015,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,"I am assisted with my mortgage through an agency. Since I am XXXX, XXXX, and on a XXXX this helps me pay my mortgage. GreenTree Mortgage bought my mortgage from XXXX Mortgage XXXX year ago. I have my mortgage amount debited out with auto pay from my credit union and the agency sends the balance through their account which is automatically deposited in Greentree 's account from their bank. Periodically Greentree has called me and asked me where was the agency 's payment and I have told them to call the agency. In XXXX I received a call from XXXX at Greentree XXXX asking me for XXXX 's payment from the agency. After calling the Agency and being advised by them that Greentree should look through their lists of bank deposits and my telling Greentree what they said. I also told them that my portion was being discontinued as of XXXX XXXX and just the agency was paying the full amount. I was asked by XXXX to send proof with the letter sent to me by the agency, along with a cancelled check, my bank statement showing the amount deducted and a letter stating that I no longer wanted the amount I had been paying deducted out of my account. Greentree still deducted the payment and after I called to ask when they were going to reimburse me I was told by the Customer service rep that because I had blackened all the transactions on my bank statement they would n't send me a refund. That I needed to send them a bank statement without the blackening of my transactions. I responded that I did n't blacken the amount withdrawn by Greentree and I believed my transactions were private and there was no need for Greentree to know my business. To this date, I have not received my refund and they are not returning my calls. 
",,Ditech Financial LLC,GA,300XX,Older American,Consent provided,Web,03/23/2015,Closed with monetary relief,Yes,Yes,1296823
03/23/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,"i submitted a payment on XXXX XXXX 2015 for my sons mortgage payment as i do every month and it popped up that i had to pay speed pay cause 10 or more days thats what you have to do his payment is due on the XXXX so i did. then on the XXXX i had a payment go threw my bank and they told me it was denied which it should n't have been so i went on line to my bank and so that my sons mortgage place took XXXX payments out XXXX on the XXXX and XXXX on the XXXX so i called the number for company and told the gentleman by the name of agent # XXXX his name XXXX he told me he could see that i was charged and would have them reinburse me and took down the information and said i would also get back the XXXX dollars i was charged for me to hold on till he put the information in and said it would take XXXX to 6 days i explained to him it had to be as soon as possible or my bills would bounce they can take in XXXX they should put back in XXXX he said he had it ready for approval and would put rush on it. i gave them till the XXXX and called and got a XXXX and she said she would have someone contact me. i called on the XXXX and got XXXX agent # XXXX and she would not let me speak with a manager and hung up on me. I called again on the after she hung up on me and got her again and she finally after a few words connected me to a supervisor named XXXX agentXXXX i spoke with her and explained the sittuation and she looked up and said she saw XXXX had put payment in to be reversed and then asked me to send her my bank statement showing they took the XXXX payments and she would get back to me on monday the XXXX and took my number and i did not hear from her by XXXX so i called and got XXXX agent XXXX and had a fight with her over speaking to supervisor XXXX and refused to let me speak to her and said someone would get back with me in 24 to 48 hours so i went to my bank to see if they could help get my money back cause they are giving me a run around and looks like they are not going to return me my money and the heck with my bills we are not talking a few dollars but XXXX this is the worse experience i have ever had in my XXXX years of life dealing with any company so i can only hope my bank can help me out and someone should do something with this company to be able to take what they want from a persons bank and then not want to give it back. the name of the company is ocwen loan service mtg and the number I have is XXXX and punch number XXXX or god knows where you will wind up 
",,Ocwen,IL,627XX,,Consent provided,Web,03/23/2015,Closed with explanation,Yes,No,1296831
03/23/2015,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,"I recieved a notice from Midland Credit Management , Inc. ( MCM ) that I owed an "" original Creditor : '' XXXX ( South Dakota ), XXXX. and that the current balance was {$18000.00}. It does not describe what the debt is for or any details concerning it. I have no knowledge of any such debt. 
MCM offers a 70 % discount if I pay {$5500.00} by XX/XX/2015. 
I have never failed to pay a debt in my life. 
I called the phone number which is on the front page of their notice, at least XXXX places, XXXX times over a three day period and recieve a recorded answer : "" All circuits are busy, please call back later '' or "" Call can not be completed, try again later '' "" message TX XXXX MN. '' 
",,Encore Capital Group,TX,787XX,Servicemember,Consent provided,Web,03/23/2015,Closed with non-monetary relief,Yes,No,1295409
03/23/2015,Credit card,,Late fee,,"XXXX Card services was bought out by Capital One, I was never notified, my payments continued to go to XXXX, Capital One can not locate my payments, I have been charged numerous late fees d/t payments not getting to Capital One, my due date changed as well, Capital One has reported a XXXX late pay on my credit, I have contacted customer service and spoke to managers several times and they will not correct matter in the time frame I need to buy a home, I am being told it may be XXXX days before this is corrected. My statements clearly show my account current until Capital One took over in XXXX 2013. Even though I am being charged late fees, my payments were still made monthly and on time, my due date changed from the XXXX of the month to the XXXX. 
",,Capital One,MI,488XX,,Consent provided,Web,03/23/2015,Closed with monetary relief,Yes,No,1296880
03/23/2015,Credit card,,Billing disputes,,"I was reported late by Discover Card to the reporting agencies for XXXX and XXXX as XXXX days late for each month, but I was not allowed to change my billing date to accommodate my monthly federal payment date of the XXXX of the month ( which can post as late as XXXX of the month ). I got behind in XXXX and did not make a full payment trying to finish the larger high school tuition payments for my daughter and pay for her college acceptance monies that all took place in XXXX and XXXX XXXX payment was made every month typically the XXXX of the month and based on the online discover website. I paid a huge XXXX monthly payment over XXXX payments {$150.00} ( XXXX ) and {$330.00} ( XXXX ). Now, the discover representative told me today that I have no payment due in XXXX! The balance minimums due in the online system were for XXXX and XXXX? And, they reported me late for XXXX after paying what was asked of {$480.00}. They refused to change my billing payment date until today to the XXXX of each month so the cycle billing date would align me the way I asked for it to do in XXXX. My credit has been adversely affected for the first time in XXXX plus years as I have not been late in the past. AND, I did make payments each month, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XXXX, XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX. The representative did not care that I have been a good customer and always made my payments. And, that somehow I got caught in a billing cycle mess that I just now was able to get out of. BUT, to report me and then say you do not owe a payment for XXXX after all of these payments and report me late XXXX days for XXXX and XX/XX/XXXX. I told the representative that I would still make my payment on XX/XX/XXXX regardless that her system shows no balance due because I make monthly payments. Please help me to get this credit issue fixed if you can. 
",,Discover,OK,741XX,Servicemember,Consent provided,Web,03/23/2015,Closed with explanation,Yes,No,1296890
03/24/2015,Credit card,,Credit line increase/decrease,,"XXXX i receive an email from citibank regarding my XXXX credit card. It was an offer to request a credit increase and it clearly stated that there would be NO Credit bureau inquiry made. I clicked on the link in the email and entered the requested information. a couple of days later I received an alert from my credit bureau monitoring service that a hard inquiry was done. Upon looking at the report it showed Citibank credit cards making a hard credit inquiry, which was completely opposite of what their email stated. I called citi and they confimred that the email stated there would be no creidt inquiry done however they said that the request was made on a different citibank credit card which is why the hard inquiry was made. I explained to the rep I clicked on the link they provided and if was for a different account of mine it was not my issue but theirs and they need to remove the inquiry. They told me to send a letter to their credit dispute department explaining it. I sent the letter after waiting more than a month I received a blunt statement stating the it was a valid credit request and they will not remove the inquiry from my credit bureau. Citi performed bait and switch by offering a no inquiry credit request and then doing a hard inquiry which has negatively affected my credit score. I asked to remove it and received a generic letter stating they would not with no number to contact the department that sent the letter when i called the main customer service number they said that department dosent talk to customers and there was nothing else they can do. 
This has negatively affected my credit score and will remain on my credit report for 2 years because citi 's False advertising. and then their lack of fixing their error 
",Company chooses not to provide a public response,Citibank,NV,891XX,,Consent provided,Web,03/24/2015,Closed with explanation,Yes,Yes,1299216
